Employee_ID,Employee_Status,Attrition_Flag,Attrition,Age,Age_Group,Gender,Marital_Status,Education,Education_Field,Department,Job_Role,Job_Level,Job_Involvement,Business_Travel,Distance_From_Home,Distance_Category,Daily_Rate,Hourly_Rate,Monthly_Rate,Monthly_Income,Income_Range,Income_Category,Percent_Salary_Hike,Stock_Option_Level,Performance_Rating,Performance_Category,Environment_Satisfaction,Job_Satisfaction,Relationship_Satisfaction,Work_Life_Balance,Overall_Satisfaction,Over_Time,Attrition_Risk,Total_Working_Years,Experience_Group,Years_At_Company,Company_Tenure,Years_In_Current_Role,Years_Since_Last_Promotion,Years_With_Current_Manager,Num_Companies_Worked,Training_Times_Last_Year
1,Ex-Employee,1,Yes,41,35-45,Female,Single,2,Life Sciences,Sales,Sales Executive,2,3,Travel Rarely,1,Near (0-5 km),1102,94,19479,5993,$3K-<6K,Lower Middle Income,11,0,3,Good,2,4,1,1,2,Yes,High Risk,8,Mid-Level(6-10),6,4-7 Years,4,0,5,8,0
2,Active Employee,0,No,49,46-55,Male,Married,1,Life Sciences,Research & Development,Research Scientist,2,2,Travel Frequently,8,Moderate (6-15 km),279,61,24907,5130,$3K-<6K,Lower Middle Income,23,1,4,Excellent,3,2,4,3,3,No,Low Risk,10,Mid-Level(6-10),10,8-10 Years,7,1,7,1,3
4,Ex-Employee,1,Yes,37,35-45,Male,Single,2,Other,Research & Development,Laboratory Technician,1,2,Travel Rarely,2,Near (0-5 km),1373,92,2396,2090,<$3K,Lower Income,15,0,3,Good,4,3,2,3,3,Yes,Moderate Risk,7,Mid-Level(6-10),0,New Joiner,0,0,0,6,3
5,Active Employee,0,No,33,26-35,Female,Married,4,Life Sciences,Research & Development,Research Scientist,1,3,Travel Frequently,3,Near (0-5 km),1392,56,23159,2909,<$3K,Lower Income,11,0,3,Good,4,3,3,3,3.25,Yes,Moderate Risk,8,Mid-Level(6-10),8,8-10 Years,7,3,0,1,3
7,Active Employee,0,No,27,26-35,Male,Married,1,Medical,Research & Development,Laboratory Technician,1,3,Travel Rarely,2,Near (0-5 km),591,40,16632,3468,$3K-<6K,Lower Middle Income,12,1,3,Good,1,2,4,3,2.5,No,Low Risk,6,Mid-Level(6-10),2,1-3 Years,2,2,2,9,3
8,Active Employee,0,No,32,26-35,Male,Single,2,Life Sciences,Research & Development,Laboratory Technician,1,3,Travel Frequently,2,Near (0-5 km),1005,79,11864,3068,$3K-<6K,Lower Middle Income,13,0,3,Good,4,4,3,2,3.25,No,Low Risk,8,Mid-Level(6-10),7,4-7 Years,7,3,6,0,2
10,Active Employee,0,No,59,56+,Female,Married,3,Medical,Research & Development,Laboratory Technician,1,4,Travel Rarely,3,Near (0-5 km),1324,81,9964,2670,<$3K,Lower Income,20,3,4,Excellent,3,1,1,2,1.75,Yes,High Risk,12,Senior(11-20),1,1-3 Years,0,0,0,4,3
11,Active Employee,0,No,30,26-35,Male,Divorced,1,Life Sciences,Research & Development,Laboratory Technician,1,3,Travel Rarely,24,Far (16-30 km),1358,67,13335,2693,<$3K,Lower Income,22,1,4,Excellent,4,3,2,3,3,No,Low Risk,1,Fresher(0-2),1,1-3 Years,0,0,0,1,2
12,Active Employee,0,No,38,35-45,Male,Single,3,Life Sciences,Research & Development,Manufacturing Director,3,2,Travel Frequently,23,Far (16-30 km),216,44,8787,9526,$6K-<10K,Middle Income,21,0,4,Excellent,4,3,2,3,3,No,Low Risk,10,Mid-Level(6-10),9,8-10 Years,7,1,8,0,2
13,Active Employee,0,No,36,35-45,Male,Married,3,Medical,Research & Development,Healthcare Representative,2,3,Travel Rarely,27,Far (16-30 km),1299,94,16577,5237,$3K-<6K,Lower Middle Income,13,2,3,Good,3,3,2,2,2.5,No,Low Risk,17,Senior(11-20),7,4-7 Years,7,7,7,6,3
14,Active Employee,0,No,35,35-45,Male,Married,3,Medical,Research & Development,Laboratory Technician,1,4,Travel Rarely,16,Far (16-30 km),809,84,16479,2426,<$3K,Lower Income,13,1,3,Good,1,2,3,3,2.25,No,Low Risk,6,Mid-Level(6-10),5,4-7 Years,4,0,3,0,5
15,Active Employee,0,No,29,26-35,Female,Single,2,Life Sciences,Research & Development,Laboratory Technician,2,2,Travel Rarely,15,Moderate (6-15 km),153,49,12682,4193,$3K-<6K,Lower Middle Income,12,0,3,Good,4,3,4,3,3.5,Yes,Moderate Risk,10,Mid-Level(6-10),9,8-10 Years,5,0,8,0,3
16,Active Employee,0,No,31,26-35,Male,Divorced,1,Life Sciences,Research & Development,Research Scientist,1,3,Travel Rarely,26,Far (16-30 km),670,31,15170,2911,<$3K,Lower Income,17,1,3,Good,1,3,4,2,2.5,No,Low Risk,5,Junior(3-5),5,4-7 Years,2,4,3,1,1
18,Active Employee,0,No,34,26-35,Male,Divorced,2,Medical,Research & Development,Laboratory Technician,1,3,Travel Rarely,19,Far (16-30 km),1346,93,8758,2661,<$3K,Lower Income,11,1,3,Good,2,4,3,3,3,No,Low Risk,3,Junior(3-5),2,1-3 Years,2,1,2,0,2
